Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Sevilla FC,Bono,PT,11,92,6,1,66,5.5,"['4', '11', '6', '1', '-']",4,11,6,1,0,4.4,5.220.000
Sevilla FC,Dmitrovic,PT,2,15,3,0,9,4.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,890.000
Sevilla FC,Diego Carlos,DF,12,100,2,0,72,5.5,"['1', '14', '6', '3', '-']",1,14,6,3,0,4.8,7.440.000
Sevilla FC,Marcos Acuña,DF,12,77,1,1,66,5.1,"['1', '2', '16', '5', '-']",1,2,16,5,0,4.8,4.360.000
Sevilla FC,Jesús Navas,DF,11,62,0,2,65,5.9,"['7', '2', '-', '-', '-']",7,2,0,0,0,1.8,6.490.000
Sevilla FC,Gonzalo Montiel,DF,5,46,1,1,35,5.8,"['-', '4', '10', '7', '-']",0,4,10,7,0,4.2,3.260.000
Sevilla FC,Rekik,DF,7,31,0,1,23,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.000.000
Sevilla FC,Augustinsson,DF,5,23,0,1,20,4,"['4', '-', '-', '4', '-']",4,0,0,4,0,1.6,990.000
Sevilla FC,Joan Jordan,MD,13,92,0,1,60,4.3,"['6', '5', '7', '3', '-']",6,5,7,3,0,4.2,7.410.000
Sevilla FC,Fernando Reges,MD,13,92,1,1,59,4.2,"['3', '2', '6', '1', '-']",3,2,6,1,0,2.4,6.810.000
Sevilla FC,Rakitic,MD,11,62,1,1,50,4.2,"['2', '8', '6', '12', '-']",2,8,6,12,0,5.6,4.570.000
Sevilla FC,Óscar Rodríguez,MD,7,23,0,0,27,3.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.940.000
Sevilla FC,Delaney,MD,9,31,0,1,24,2.7,"['-', '-', '1', '4', '-']",0,0,1,4,0,1.0,1.950.000
Sevilla FC,Óliver Torres,MD,5,31,1,1,21,4.2,"['0', '-', '1', '3', '-']",0,0,1,3,0,0.8,1.400.000
Sevilla FC,Gudelj,MD,4,8,0,0,10,2.5,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,450.000
Sevilla FC,Pedro Ortiz,MD,1,0,0,0,5,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340.000
Sevilla FC,Erik Lamela,DL,12,38,4,1,69,5.8,"['8', '5', '5', '-', '-']",8,5,5,0,0,3.6,11.440.000
Sevilla FC,Rafa Mir,DL,12,69,4,0,58,4.5,"['0', '2', '2', '6', '-']",0,2,2,6,0,2.0,11.940.000
Sevilla FC,Ocampos,DL,10,54,2,1,42,3.8,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,9.490.000
Sevilla FC,En-Nesyri,DL,7,38,3,1,40,5.7,"['4', '8', '3', '9', '-']",4,8,3,9,0,4.8,9.190.000
Sevilla FC,Suso,DL,8,46,0,1,27,3.4,"['3', '-', '-', '2', '-']",3,0,0,2,0,1.0,3.970.000
Sevilla FC,Munir El Haddadi,DL,5,15,1,0,21,4.2,"['2', '-', '3', '5', '-']",2,0,3,5,0,2.0,1.370.000
Sevilla FC,Idrissi,DL,4,15,0,0,17,4.3,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8,850.000
