Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Granada CF,Luís Maximiano,PT,11,79,16,0,66,6,"['4', '8', '4', '1', '2']",4,8,4,1,2,3.8,4.900.000
Granada CF,Aarón Escandell,PT,4,21,6,0,12,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,990.000
Granada CF,João Costa,PT,--,0,--,--,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210.000
Granada CF,Ángel Jiménez,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210.000
Granada CF,Germán Sánchez,DF,12,71,2,0,49,4.1,"['-', '12', '4', '0', '2']",0,12,4,0,2,3.6,2.460.000
Granada CF,Carlos Neva,DF,13,79,0,0,45,3.5,"['-', '5', '4', '2', '3']",0,5,4,2,3,2.8,1.930.000
Granada CF,Víctor Díaz,DF,9,50,0,0,30,3.3,"['3', '7', '2', '3', '-']",3,7,2,3,0,3.0,850.000
Granada CF,Domingos Duarte,DF,7,50,1,0,28,4,"['2', '-', '-', '-', '7']",2,0,0,0,7,1.8,1.650.000
Granada CF,Sergio Escudero,DF,10,21,0,1,25,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,860.000
Granada CF,Luis Abram,DF,7,36,0,0,29,4.1,"['5', '1', '2', '3', '2']",5,1,2,3,2,2.6,940.000
Granada CF,Quini,DF,10,64,0,0,17,1.7,"['2', '3', '1', '1', '0']",2,3,1,1,0,1.4,550.000
Granada CF,Arias,DF,4,14,0,0,8,2,"['-', '-', '3', '-', '-']",0,0,3,0,0,0.6,1.050.000
Granada CF,Raúl Torrente,DF,3,7,0,0,2,2,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8,220.000
Granada CF,Pepe Sánchez,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230.000
Granada CF,Jorge Molina,DL,12,29,2,1,46,3.8,"['2', '2', '4', '-', '-']",2,2,4,0,0,1.6,1.670.000
Granada CF,Neyder Lozano,DF,--,0,--,--,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,480.000
Granada CF,Rochina,MD,10,57,1,3,52,5.2,"['5', '5', '8', '3', '3']",5,5,8,3,3,4.8,3.430.000
Granada CF,Montoro,MD,14,64,1,0,52,3.7,"['2', '4', '6', '2', '4']",2,4,6,2,4,3.6,2.360.000
Granada CF,Luis Milla,MD,10,64,1,2,43,4.3,"['6', '5', '-', '-', '-']",6,5,0,0,0,2.2,3.740.000
Granada CF,Gonalons,MD,11,71,0,1,39,3.5,"['-', '-', '-', '3', '6']",0,0,0,3,6,1.8,2.050.000
Granada CF,Darwin Machís,MD,9,50,1,0,36,4,"['5', '-', '5', '-', '10']",5,0,5,0,10,4.0,3.250.000
Granada CF,Alberto Soro,MD,8,43,0,0,26,3.3,"['6', '5', '0', '4', '-']",6,5,0,4,0,3.0,800.000
Granada CF,Monchu,MD,12,50,0,0,24,2,"['5', '2', '4', '-8', '-']",5,2,4,-8,0,0.6,1.370.000
Granada CF,Antonio Puertas,MD,10,36,1,0,24,2.4,"['6', '10', '-', '2', '-']",6,10,0,2,0,3.6,1.110.000
Granada CF,Yan Eteki,MD,4,7,0,0,6,1.5,"['-', '-', '-', '-', '0']",0,0,0,0,0,0.0,380.000
Granada CF,Isma Ruiz,MD,2,0,0,0,4,2,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,250.000
Granada CF,Bacca,DL,10,29,0,1,33,3.3,"['9', '4', '1', '3', '14']",9,4,1,3,14,6.2,2.640.000
