Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
RCD Mallorca,Reina,PT,14,93,18,0,50,3.6,"['2', '2', '0', '0', '5']",2,2,0,0,5,1.8,2.700.000
RCD Mallorca,Greif,PT,1,7,3,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440.000
RCD Mallorca,Maffeo,DF,13,87,1,0,72,5.5,"['4', '6', '14', '4', '2']",4,6,14,4,2,6.0,5.300.000
RCD Mallorca,Martin Valjent,DF,15,100,0,0,57,3.8,"['5', '4', '2', '-1', '4']",5,4,2,-1,4,2.8,2.640.000
RCD Mallorca,Brian Oliván,DF,13,80,1,0,47,3.6,"['3', '1', '-', '4', '-']",3,1,0,4,0,1.6,2.540.000
RCD Mallorca,Franco Russo,DF,10,67,0,0,39,3.9,"['4', '4', '-1', '4', '9']",4,4,-1,4,9,4.0,1.020.000
RCD Mallorca,Jaume Costa,DF,8,33,0,0,11,1.4,"['-8', '-', '8', '-', '4']",-8,0,8,0,4,0.8,1.130.000
RCD Mallorca,Joan Sastre,DF,7,13,0,0,5,0.7,"['-', '-3', '-', '-', '-']",0,-3,0,0,0,-0.6,390.000
RCD Mallorca,Josep Gayá,DF,1,7,0,0,-2,-2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240.000
RCD Mallorca,Idrissu Baba,MD,14,80,1,1,73,5.2,"['6', '14', '2', '-', '7']",6,14,2,0,7,5.8,5.610.000
RCD Mallorca,Salva Sevilla,MD,9,40,1,2,53,5.9,"['2', '8', '11', '-', '-']",2,8,11,0,0,4.2,3.630.000
RCD Mallorca,Ruiz de Galarreta,MD,13,60,0,0,46,3.5,"['4', '2', '1', '4', '6']",4,2,1,4,6,3.4,2.190.000
RCD Mallorca,Kang-In Lee,MD,11,60,1,1,38,3.5,"['-', '5', '3', '4', '4']",0,5,3,4,4,3.2,3.460.000
RCD Mallorca,Kubo,MD,7,33,0,0,22,3.1,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,3.040.000
RCD Mallorca,Antonio Sánchez,MD,6,27,1,0,19,3.2,"['9', '2', '4', '2', '-']",9,2,4,2,0,3.4,780.000
RCD Mallorca,Mboula,MD,10,33,0,0,19,1.9,"['-', '-', '4', '2', '2']",0,0,4,2,2,1.6,570.000
RCD Mallorca,Rodrigo Battaglia,MD,10,20,0,0,13,1.3,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8,700.000
RCD Mallorca,Aleix Febas,MD,4,7,0,0,10,2.5,"['-', '-', '-', '5', '-']",0,0,0,5,0,1.0,370.000
RCD Mallorca,Lago Júnior,MD,6,7,0,0,9,1.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,400.000
RCD Mallorca,Sedlar,MD,5,7,0,0,6,1.2,"['2', '-2', '-', '-', '-']",2,-2,0,0,0,0.0,360.000
RCD Mallorca,Fernando Niño,DL,11,40,2,0,44,4,"['2', '-', '2', '2', '-']",2,0,2,2,0,1.2,4.120.000
RCD Mallorca,Ángel Rodríguez,DL,10,47,2,1,42,4.2,"['3', '5', '-1', '6', '4']",3,5,-1,6,4,3.4,3.410.000
RCD Mallorca,Abdón Prats,DL,9,7,1,0,34,3.8,"['-', '-', '3', '10', '4']",0,0,3,10,4,3.4,830.000
RCD Mallorca,Hoppe,DL,2,7,0,1,5,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,700.000
