Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Valencia CF,Cillessen,PT,9,60,13,0,33,3.7,"['2', '6', '1', '7', '4']",2,6,1,7,4,4.0,2.790.000
Valencia CF,Mamardashvili,PT,6,40,7,0,26,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.930.000
Valencia CF,Jaume Doménech,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,280.000
Valencia CF,Cristian Rivero,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210.000
Valencia CF,Daniel Wass,DF,15,100,1,1,62,4.1,"['-2', '4', '1', '3', '2']",-2,4,1,3,2,1.6,6.250.000
Valencia CF,Gabriel Paulista,DF,12,80,1,1,58,4.8,"['9', '3', '-', '-', '-']",9,3,0,0,0,2.4,4.100.000
Valencia CF,Gayà,DF,11,73,2,1,57,5.2,"['0', '5', '7', '5', '2']",0,5,7,5,2,3.8,6.080.000
Valencia CF,Omar Alderete,DF,14,87,1,0,56,4,"['-1', '4', '4', '4', '6']",-1,4,4,4,6,3.4,3.530.000
Valencia CF,Foulquier,DF,14,87,0,1,45,3.2,"['1', '11', '2', '5', '2']",1,11,2,5,2,4.2,1.930.000
Valencia CF,Diakhaby,DF,13,33,0,0,32,2.5,"['1', '11', '5', '-', '5']",1,11,5,0,5,4.4,1.360.000
Valencia CF,Thierry Correia,DF,6,33,0,0,27,4.5,"['3', '4', '1', '4', '4']",3,4,1,4,4,3.2,2.860.000
Valencia CF,Guillamón,DF,12,80,1,0,32,2.7,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,2.220.000
Valencia CF,Lato,DF,4,20,0,0,10,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,530.000
Valencia CF,Jesús Vázquez,DF,3,7,0,0,4,2,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,310.000
Valencia CF,Piccini,DF,1,0,0,0,2,2,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,380.000
Valencia CF,Carlos Soler,MD,11,60,5,2,70,6.4,"['-', '8', '2', '5', '9']",0,8,2,5,9,4.8,12.640.000
Valencia CF,Racic,MD,10,33,0,0,29,2.9,"['2', '5', '2', '3', '-']",2,5,2,3,0,2.4,1.320.000
Valencia CF,Yunus Musah,MD,11,13,0,0,23,2.1,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,910.000
Valencia CF,Denis Cheryshev,MD,6,27,0,1,23,3.8,"['1', '-', '2', '1', '1']",1,0,2,1,1,1.0,1.670.000
Valencia CF,Hélder Costa,MD,9,33,0,0,20,2.2,"['2', '0', '2', '2', '5']",2,0,2,2,5,2.2,1.200.000
Valencia CF,Jason,MD,5,7,0,0,13,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,490.000
Valencia CF,Koba,MD,4,0,0,0,10,2.5,"['-', '-', '2', '2', '2']",0,0,2,2,2,1.2,350.000
Valencia CF,Álex Blanco,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210.000
Valencia CF,Guedes,DL,15,100,3,3,91,6.1,"['0', '1', '11', '2', '3']",0,1,11,2,3,3.4,13.700.000
Valencia CF,Hugo Duro,DL,13,60,4,0,57,4.4,"['3', '2', '17', '2', '2']",3,2,17,2,2,5.2,3.880.000
Valencia CF,Maxi Gómez,DL,11,60,1,1,42,3.8,"['-', '-', '-', '2', '4']",0,0,0,2,4,1.2,7.100.000
Valencia CF,Manu Vallejo,DL,8,0,0,0,19,2.4,"['3', '-', '2', '-', '-']",3,0,2,0,0,1.0,810.000
