Player,Matchs,Goals,Assists
Robin ,2,0,0
Brais Méndez,2,0,0
Álex Remiro,2,0,0
Igor Zubeldia,2,0,0
Martín Zubimendi,2,0,0
Aritz Elustondo,2,0,0
Mikel Merino,2,0,1
Alexander Isak,2,1,0
Takefusa Kubo,2,1,0
David Silva,2,0,0
Aihen Muñoz,2,0,0
Diego Rico,1,0,0
Mohamed A,2,0,0
Roberto Navarro,1,0,0
Beñat Turrientes,1,0,0
Jon Karrikaburu,2,0,0
Ander Barrenetxea,1,0,0
Andoni Gorosabel,1,0,0
Asier Illarramendi,1,0,0
Urko González,0,0,0
Ander Guevara,0,0,0
Ander Martin,0,0,0
Olasagasti,0,0,0
Jon Pacheco,0,0,0
Andoni Zubiaurre,0,0,0
